trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,483,practice,green,blue,red,False,False,False,002
1,450,practice,red,red,red,True,True,False,002
2,479,practice,green,green,green,True,True,False,002
3,11688,practice,blue,blue,red,False,True,False,002
4,343,practice,red,red,red,True,True,False,002
5,598,practice,green,green,red,False,True,False,002
6,519,practice,blue,red,blue,False,False,False,002
7,536,practice,blue,blue,blue,True,True,False,002
8,626,practice,red,red,green,False,True,False,002
9,434,practice,blue,blue,blue,True,True,False,002
10,435,frequent,blue,blue,red,False,True,False,002
11,618,frequent,green,green,red,False,True,False,002
12,627,frequent,blue,blue,red,False,True,False,002
13,475,frequent,red,red,green,False,True,False,002
14,481,frequent,green,green,green,True,True,False,002
15,829,frequent,green,green,blue,False,True,False,002
16,1905,frequent,red,red,green,False,True,False,002
17,25252,frequent,blue,red,green,False,False,True,002
18,568,frequent,red,red,green,False,True,True,002
19,503,frequent,blue,blue,green,False,True,False,002
20,621,frequent,red,red,blue,False,True,False,002
21,1409,frequent,red,red,blue,False,True,True,002
22,51360,frequent,blue,blue,green,False,True,False,002
23,629,frequent,blue,blue,red,False,True,False,002
24,404,frequent,blue,blue,red,False,True,True,002
25,149594,frequent,green,blue,green,False,False,False,002
26,541,frequent,red,red,green,False,True,False,002
27,401,frequent,blue,blue,blue,True,True,False,002
28,439,frequent,blue,blue,green,False,True,False,002
29,424,frequent,blue,blue,green,False,True,True,002
30,544,frequent,green,green,blue,False,True,False,002
31,472,frequent,red,red,blue,False,True,False,002
32,526,frequent,green,green,green,True,True,False,002
33,444,frequent,blue,blue,blue,True,True,False,002
34,615,frequent,green,green,red,False,True,False,002
35,325,frequent,red,red,green,False,True,False,002
36,456,frequent,blue,green,red,False,False,False,002
37,409,frequent,green,green,blue,False,True,False,002
38,557,frequent,red,red,red,True,True,False,002
39,410,frequent,blue,blue,blue,True,True,False,002
40,596,frequent,red,red,blue,False,True,False,002
41,467,frequent,red,red,blue,False,True,True,002
42,447,frequent,blue,green,blue,False,False,False,002
