type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,switch
practice,0.0,0,897.0,0,"(1, 0)",003,761.0,1,"(2, 3)",
practice,1.0,1,857.0,0,"(0, 1)",003,532.0,0,"(3, 2)",0.0
practice,2.0,0,189.0,1,"(0, 1)",003,452.0,0,"(3, 2)",1.0
practice,3.0,0,265.0,0,"(1, 0)",003,490.0,1,"(4, 5)",1.0
practice,4.0,0,261.0,1,"(0, 1)",003,450.0,0,"(2, 3)",1.0
practice,5.0,0,149.0,0,"(1, 0)",003,148.0,0,"(3, 2)",1.0
practice,6.0,0,158.0,1,"(1, 0)",003,347.0,0,"(3, 2)",1.0
practice,7.0,1,167.0,1,"(0, 1)",003,381.0,0,"(4, 5)",0.0
practice,8.0,1,312.0,1,"(0, 1)",003,274.0,1,"(4, 5)",0.0
practice,9.0,1,372.0,1,"(0, 1)",003,844.0,1,"(4, 5)",0.0
practice,10.0,0,240.0,0,"(0, 1)",003,226.0,1,"(3, 2)",1.0
practice,11.0,1,78.0,1,"(1, 0)",003,123.0,0,"(2, 3)",1.0
practice,12.0,0,230.0,0,"(1, 0)",003,209.0,0,"(5, 4)",1.0
practice,13.0,1,356.0,1,"(0, 1)",003,272.0,0,"(5, 4)",1.0
practice,14.0,0,646.0,0,"(0, 1)",003,433.0,1,"(2, 3)",1.0
practice,15.0,0,431.0,0,"(1, 0)",003,409.0,0,"(4, 5)",0.0
practice,16.0,0,314.0,0,"(1, 0)",003,514.0,0,"(5, 4)",0.0
practice,17.0,0,542.0,0,"(0, 1)",003,481.0,1,"(3, 2)",0.0
practice,18.0,0,605.0,1,"(1, 0)",003,353.0,0,"(4, 5)",1.0
practice,19.0,0,389.0,1,"(1, 0)",003,306.0,0,"(3, 2)",0.0
task,0.0,0,392.0,0,"(0, 1)",003,564.0,0,"(3, 2)",
task,1.0,0,580.0,0,"(0, 1)",003,664.0,1,"(5, 4)",0.0
task,2.0,1,382.0,1,"(1, 0)",003,575.0,0,"(3, 2)",1.0
task,3.0,0,510.0,1,"(1, 0)",003,1096.0,0,"(5, 4)",0.0
task,4.0,0,745.0,1,"(1, 0)",003,1218.0,0,"(2, 3)",0.0
task,5.0,1,956.0,0,"(0, 1)",003,688.0,1,"(4, 5)",1.0
task,6.0,0,563.0,1,"(1, 0)",003,561.0,1,"(2, 3)",1.0
task,7.0,1,609.0,1,"(0, 1)",003,880.0,0,"(2, 3)",0.0
task,8.0,0,907.0,0,"(0, 1)",003,575.0,0,"(2, 3)",1.0
task,9.0,0,605.0,1,"(0, 1)",003,794.0,1,"(4, 5)",1.0
task,10.0,0,658.0,0,"(0, 1)",003,791.0,1,"(2, 3)",1.0
task,11.0,1,762.0,0,"(1, 0)",003,826.0,0,"(5, 4)",0.0
task,12.0,0,578.0,0,"(1, 0)",003,607.0,0,"(5, 4)",0.0
task,13.0,1,450.0,0,"(1, 0)",003,464.0,0,"(4, 5)",0.0
task,14.0,0,595.0,1,"(0, 1)",003,439.0,0,"(4, 5)",1.0
task,15.0,0,454.0,1,"(1, 0)",003,572.0,0,"(3, 2)",0.0
task,16.0,1,804.0,0,"(0, 1)",003,581.0,1,"(2, 3)",1.0
task,17.0,0,498.0,1,"(1, 0)",003,389.0,1,"(2, 3)",1.0
task,18.0,0,484.0,0,"(1, 0)",003,780.0,1,"(4, 5)",1.0
task,19.0,0,699.0,0,"(1, 0)",003,566.0,0,"(5, 4)",0.0
task,20.0,1,348.0,0,"(1, 0)",003,591.0,1,"(5, 4)",0.0
task,21.0,1,551.0,0,"(1, 0)",003,570.0,0,"(4, 5)",0.0
task,22.0,0,488.0,0,"(0, 1)",003,422.0,1,"(3, 2)",0.0
task,23.0,1,279.0,1,"(0, 1)",003,781.0,0,"(4, 5)",1.0
task,24.0,0,778.0,1,"(0, 1)",003,1212.0,1,"(5, 4)",0.0
task,25.0,0,534.0,0,"(1, 0)",003,864.0,0,"(2, 3)",1.0
task,26.0,1,433.0,0,"(1, 0)",003,1427.0,0,"(4, 5)",0.0
task,27.0,-1,1735.0,0,"(1, 0)",003,,-1,"(5, 4)",0.0
task,28.0,1,302.0,1,"(1, 0)",003,1037.0,1,"(4, 5)",1.0
task,29.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",1.0
task,30.0,1,525.0,1,"(0, 1)",003,474.0,0,"(4, 5)",1.0
task,31.0,1,311.0,0,"(0, 1)",003,486.0,0,"(2, 3)",1.0
task,32.0,1,591.0,1,"(1, 0)",003,478.0,1,"(3, 2)",1.0
task,33.0,1,1072.0,1,"(0, 1)",003,841.0,1,"(5, 4)",0.0
task,34.0,1,858.0,0,"(0, 1)",003,954.0,0,"(4, 5)",1.0
task,35.0,0,798.0,0,"(0, 1)",003,450.0,1,"(3, 2)",0.0
task,36.0,1,665.0,0,"(0, 1)",003,855.0,1,"(3, 2)",0.0
task,37.0,0,455.0,0,"(0, 1)",003,1056.0,0,"(3, 2)",0.0
task,38.0,0,537.0,0,"(1, 0)",003,411.0,1,"(4, 5)",0.0
task,39.0,0,274.0,0,"(0, 1)",003,779.0,0,"(3, 2)",0.0
task,40.0,1,526.0,1,"(0, 1)",003,716.0,0,"(4, 5)",1.0
task,41.0,1,554.0,1,"(0, 1)",003,559.0,1,"(5, 4)",0.0
task,42.0,1,737.0,0,"(1, 0)",003,563.0,0,"(4, 5)",1.0
task,43.0,1,421.0,1,"(0, 1)",003,719.0,1,"(5, 4)",1.0
task,44.0,1,734.0,0,"(1, 0)",003,553.0,0,"(4, 5)",1.0
task,45.0,1,844.0,1,"(0, 1)",003,437.0,0,"(4, 5)",1.0
task,46.0,0,417.0,0,"(0, 1)",003,666.0,0,"(2, 3)",1.0
task,47.0,1,671.0,0,"(1, 0)",003,794.0,1,"(3, 2)",0.0
task,48.0,0,492.0,1,"(0, 1)",003,531.0,1,"(5, 4)",1.0
task,49.0,0,347.0,0,"(0, 1)",003,840.0,1,"(3, 2)",1.0
task,50.0,1,467.0,0,"(0, 1)",003,381.0,0,"(3, 2)",0.0
task,51.0,0,1077.0,1,"(1, 0)",003,429.0,1,"(2, 3)",1.0
task,52.0,1,414.0,0,"(1, 0)",003,665.0,0,"(2, 3)",1.0
