trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,813,practice,red,red,red,True,True,False,005
1,613,practice,red,blue,red,False,False,False,005
2,687,practice,blue,blue,green,False,True,False,005
3,500,practice,blue,blue,blue,True,True,False,005
4,778,practice,red,red,blue,False,True,False,005
5,682,practice,blue,blue,blue,True,True,False,005
6,490,practice,green,green,blue,False,True,False,005
7,524,practice,blue,blue,blue,True,True,False,005
8,533,practice,green,green,green,True,True,False,005
9,668,practice,blue,blue,blue,True,True,False,005
10,422,practice,red,red,red,True,True,False,005
11,510,practice,red,red,blue,False,True,False,005
12,740,practice,blue,blue,green,False,True,False,005
13,578,practice,green,green,green,True,True,False,005
14,620,practice,green,green,blue,False,True,False,005
15,581,practice,red,red,red,True,True,False,005
16,699,practice,green,green,red,False,True,False,005
17,724,practice,red,red,green,False,True,False,005
18,477,practice,red,red,green,False,True,True,005
19,973,practice,green,green,red,False,True,False,005
20,483,practice,green,green,green,True,True,False,005
21,435,practice,green,green,green,True,True,True,005
22,577,practice,red,red,red,True,True,False,005
23,657,practice,blue,blue,red,False,True,False,005
24,553,infrequent,red,red,red,True,True,False,005
25,569,infrequent,red,red,red,True,True,True,005
26,482,infrequent,red,red,red,True,True,True,005
27,498,infrequent,green,green,green,True,True,False,005
28,546,infrequent,blue,blue,blue,True,True,False,005
29,630,infrequent,red,red,green,False,True,False,005
30,995,infrequent,blue,blue,green,False,True,False,005
31,480,infrequent,green,green,green,True,True,False,005
32,599,infrequent,blue,blue,blue,True,True,False,005
33,720,infrequent,green,green,green,True,True,False,005
34,572,infrequent,blue,blue,blue,True,True,False,005
35,610,infrequent,blue,blue,red,False,True,False,005
36,624,infrequent,red,red,red,True,True,False,005
37,515,infrequent,red,red,red,True,True,True,005
38,449,infrequent,red,red,blue,False,True,False,005
39,459,infrequent,red,green,green,True,False,False,005
40,541,infrequent,green,green,green,True,True,True,005
41,453,infrequent,green,green,green,True,True,True,005
42,642,infrequent,green,green,blue,False,True,False,005
43,415,infrequent,green,green,green,True,True,False,005
44,542,infrequent,red,red,blue,False,True,False,005
45,404,infrequent,blue,blue,blue,True,True,False,005
46,536,infrequent,red,red,red,True,True,False,005
47,456,infrequent,red,red,red,True,True,True,005
48,430,infrequent,red,red,red,True,True,True,005
49,420,infrequent,red,red,red,True,True,True,005
50,567,infrequent,green,green,red,False,True,False,005
51,534,infrequent,blue,blue,blue,True,True,False,005
52,472,infrequent,blue,blue,blue,True,True,True,005
53,466,infrequent,blue,blue,blue,True,True,True,005
54,576,infrequent,green,green,green,True,True,False,005
55,416,infrequent,red,red,red,True,True,False,005
56,399,infrequent,red,red,red,True,True,True,005
57,479,infrequent,red,red,red,True,True,True,005
58,507,infrequent,blue,blue,red,False,True,False,005
59,561,infrequent,red,red,red,True,True,False,005
60,624,infrequent,blue,blue,blue,True,True,False,005
61,412,infrequent,green,green,green,True,True,False,005
62,363,infrequent,green,green,green,True,True,True,005
63,570,infrequent,blue,blue,green,False,True,False,005
64,551,infrequent,green,green,green,True,True,False,005
65,523,infrequent,red,red,red,True,True,False,005
66,510,infrequent,red,red,red,True,True,True,005
67,453,infrequent,red,red,red,True,True,True,005
68,500,infrequent,blue,green,green,True,False,False,005
69,620,infrequent,red,red,red,True,True,False,005
70,599,infrequent,blue,blue,red,False,True,False,005
71,676,infrequent,green,green,red,False,True,False,005
72,491,infrequent,green,green,green,True,True,False,005
73,502,infrequent,green,green,red,False,True,False,005
74,445,infrequent,green,green,red,False,True,True,005
75,512,infrequent,blue,blue,blue,True,True,False,005
76,899,infrequent,blue,blue,blue,True,True,True,005
77,477,infrequent,red,red,red,True,True,False,005
78,575,infrequent,red,red,red,True,True,True,005
79,591,infrequent,green,green,green,True,True,False,005
80,430,infrequent,green,green,green,True,True,True,005
81,481,infrequent,green,green,green,True,True,True,005
82,520,infrequent,blue,blue,blue,True,True,False,005
83,441,infrequent,blue,blue,blue,True,True,True,005
84,436,infrequent,blue,blue,blue,True,True,True,005
85,447,infrequent,blue,blue,blue,True,True,True,005
86,450,infrequent,red,red,red,True,True,False,005
87,622,infrequent,blue,blue,blue,True,True,False,005
88,438,infrequent,blue,blue,blue,True,True,True,005
89,589,infrequent,red,red,green,False,True,False,005
90,756,infrequent,blue,blue,blue,True,True,False,005
91,614,infrequent,green,green,blue,False,True,False,005
92,510,infrequent,red,red,green,False,True,False,005
93,861,infrequent,blue,blue,green,False,True,False,005
94,843,infrequent,green,green,green,True,True,False,005
95,436,infrequent,green,green,green,True,True,True,005
96,600,infrequent,blue,blue,blue,True,True,False,005
97,435,infrequent,blue,blue,blue,True,True,True,005
98,523,infrequent,red,red,red,True,True,False,005
99,617,infrequent,blue,blue,blue,True,True,False,005
100,492,infrequent,green,green,green,True,True,False,005
101,434,infrequent,green,green,green,True,True,True,005
102,612,infrequent,red,red,red,True,True,False,005
103,442,infrequent,red,red,red,True,True,True,005
104,601,infrequent,green,green,green,True,True,False,005
105,571,infrequent,blue,blue,blue,True,True,False,005
106,657,infrequent,green,green,green,True,True,False,005
107,592,infrequent,red,red,red,True,True,False,005
108,443,infrequent,red,red,red,True,True,True,005
109,768,infrequent,blue,red,blue,False,False,False,005
110,589,infrequent,blue,blue,blue,True,True,False,005
111,658,infrequent,green,green,blue,False,True,False,005
112,1177,infrequent,blue,blue,red,False,True,False,005
113,631,infrequent,blue,blue,blue,True,True,False,005
114,523,infrequent,green,green,green,True,True,False,005
115,633,infrequent,red,red,blue,False,True,False,005
116,874,infrequent,blue,blue,blue,True,True,False,005
117,578,infrequent,green,green,green,True,True,False,005
118,567,infrequent,blue,blue,blue,True,True,False,005
119,557,infrequent,blue,blue,blue,True,True,True,005
120,446,infrequent,blue,blue,blue,True,True,True,005
121,391,infrequent,blue,blue,blue,True,True,True,005
122,634,infrequent,green,green,green,True,True,False,005
123,440,infrequent,green,green,green,True,True,True,005
124,401,infrequent,green,green,green,True,True,True,005
125,558,infrequent,blue,green,blue,False,False,False,005
126,524,infrequent,green,green,green,True,True,False,005
127,640,infrequent,red,red,red,True,True,False,005
128,603,infrequent,blue,blue,blue,True,True,False,005
129,629,infrequent,green,green,green,True,True,False,005
130,601,infrequent,red,red,red,True,True,False,005
131,841,infrequent,blue,blue,green,False,True,False,005
132,620,infrequent,red,red,red,True,True,False,005
133,572,infrequent,blue,blue,blue,True,True,False,005
134,579,infrequent,red,red,red,True,True,False,005
135,468,infrequent,red,red,red,True,True,True,005
136,439,infrequent,red,red,green,False,True,False,005
137,592,infrequent,blue,blue,blue,True,True,False,005
138,492,infrequent,red,red,red,True,True,False,005
139,651,infrequent,blue,blue,blue,True,True,False,005
140,637,infrequent,green,green,green,True,True,False,005
141,694,infrequent,red,red,red,True,True,False,005
142,728,infrequent,green,green,green,True,True,False,005
143,471,infrequent,green,green,green,True,True,True,005
144,903,frequent,green,green,blue,False,True,False,005
145,422,frequent,green,green,red,False,True,False,005
146,744,frequent,blue,blue,green,False,True,False,005
147,420,frequent,blue,blue,green,False,True,True,005
148,626,frequent,green,green,green,True,True,False,005
149,554,frequent,blue,green,red,False,False,False,005
150,725,frequent,red,green,red,False,False,True,005
151,533,frequent,green,green,blue,False,True,False,005
152,798,frequent,red,red,green,False,True,False,005
153,633,frequent,blue,blue,blue,True,True,False,005
154,967,frequent,blue,blue,red,False,True,False,005
155,421,frequent,blue,blue,green,False,True,False,005
156,592,frequent,red,red,red,True,True,False,005
157,629,frequent,red,red,blue,False,True,False,005
158,717,frequent,blue,blue,blue,True,True,False,005
159,652,frequent,blue,blue,red,False,True,False,005
160,513,frequent,blue,blue,red,False,True,True,005
161,680,frequent,blue,red,blue,False,False,False,005
162,785,frequent,blue,blue,green,False,True,False,005
163,755,frequent,green,green,blue,False,True,False,005
164,514,frequent,green,green,red,False,True,False,005
165,551,frequent,green,green,red,False,True,True,005
166,876,frequent,red,red,blue,False,True,False,005
167,432,frequent,red,red,red,True,True,False,005
168,667,frequent,blue,blue,red,False,True,False,005
169,785,frequent,green,green,red,False,True,False,005
170,553,frequent,green,green,blue,False,True,False,005
171,760,frequent,red,red,blue,False,True,False,005
172,417,frequent,red,red,blue,False,True,True,005
173,429,frequent,red,red,blue,False,True,True,005
174,465,frequent,red,green,red,False,False,False,005
175,835,frequent,green,green,red,False,True,True,005
176,709,frequent,blue,blue,blue,True,True,False,005
177,914,frequent,blue,blue,green,False,True,False,005
