type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,0,1105.0,1,"(0, 1)",008,993,3,"(3, 2)",rare
practice,1.0,1,996.0,1,"(0, 1)",008,1552,4,"(5, 4)",common
practice,2.0,0,1256.0,1,"(0, 1)",008,1243,4,"(5, 4)",common
practice,3.0,-1,,-1,"(1, 0)",008,-1,-1,-1,
practice,4.0,0,656.0,1,"(0, 1)",008,1087,3,"(3, 2)",rare
practice,5.0,1,1030.0,1,"(1, 0)",008,1269,5,"(5, 4)",common
practice,6.0,1,1224.0,0,"(0, 1)",008,1042,2,"(2, 3)",common
practice,7.0,0,774.0,0,"(1, 0)",008,1032,2,"(3, 2)",common
practice,8.0,0,1043.0,1,"(1, 0)",008,1152,5,"(5, 4)",common
practice,9.0,0,1050.0,1,"(1, 0)",008,1013,5,"(4, 5)",common
task,0.0,0,809.0,1,"(0, 1)",008,1038,2,"(2, 3)",rare
task,1.0,0,866.0,1,"(0, 1)",008,1362,2,"(2, 3)",rare
task,2.0,1,731.0,0,"(0, 1)",008,1117,2,"(3, 2)",common
task,3.0,0,915.0,0,"(1, 0)",008,1093,3,"(2, 3)",common
task,4.0,1,939.0,1,"(1, 0)",008,1226,2,"(2, 3)",rare
task,5.0,0,832.0,1,"(1, 0)",008,1030,5,"(5, 4)",common
task,6.0,1,1369.0,0,"(0, 1)",008,1150,3,"(2, 3)",common
task,7.0,1,902.0,0,"(0, 1)",008,1051,3,"(3, 2)",common
task,8.0,1,1041.0,1,"(1, 0)",008,892,4,"(4, 5)",common
task,9.0,0,940.0,1,"(0, 1)",008,1241,3,"(3, 2)",rare
task,10.0,1,816.0,0,"(1, 0)",008,942,5,"(4, 5)",rare
task,11.0,0,1020.0,1,"(1, 0)",008,891,2,"(2, 3)",rare
task,12.0,0,1080.0,1,"(0, 1)",008,1137,5,"(5, 4)",common
task,13.0,1,865.0,1,"(0, 1)",008,1246,3,"(3, 2)",rare
task,14.0,1,922.0,0,"(0, 1)",008,1021,3,"(3, 2)",common
task,15.0,1,1025.0,1,"(1, 0)",008,1067,5,"(4, 5)",common
task,16.0,1,865.0,1,"(0, 1)",008,954,5,"(4, 5)",common
task,17.0,0,1333.0,0,"(1, 0)",008,625,4,"(4, 5)",rare
task,18.0,0,903.0,0,"(1, 0)",008,1515,2,"(2, 3)",common
task,19.0,1,873.0,0,"(0, 1)",008,1290,5,"(5, 4)",rare
task,20.0,1,748.0,1,"(1, 0)",008,1103,4,"(5, 4)",common
task,21.0,1,924.0,1,"(0, 1)",008,1163,4,"(4, 5)",common
task,22.0,0,882.0,0,"(0, 1)",008,981,2,"(3, 2)",common
task,23.0,0,669.0,0,"(0, 1)",008,1221,3,"(2, 3)",common
task,24.0,1,641.0,0,"(0, 1)",008,965,2,"(2, 3)",common
task,25.0,1,1118.0,0,"(1, 0)",008,1094,5,"(5, 4)",rare
task,26.0,0,932.0,0,"(0, 1)",008,1401,2,"(2, 3)",common
task,27.0,1,853.0,0,"(1, 0)",008,1124,2,"(3, 2)",common
task,28.0,0,769.0,1,"(1, 0)",008,1377,3,"(3, 2)",rare
task,29.0,1,1071.0,0,"(0, 1)",008,1129,4,"(5, 4)",rare
task,30.0,1,869.0,0,"(1, 0)",008,721,4,"(5, 4)",rare
task,31.0,1,753.0,1,"(0, 1)",008,768,4,"(4, 5)",common
task,32.0,0,965.0,1,"(1, 0)",008,807,5,"(4, 5)",common
task,33.0,0,723.0,1,"(1, 0)",008,1000,3,"(2, 3)",rare
task,34.0,1,662.0,1,"(1, 0)",008,976,5,"(5, 4)",common
task,35.0,0,729.0,1,"(1, 0)",008,876,4,"(4, 5)",common
task,36.0,1,576.0,0,"(1, 0)",008,988,4,"(4, 5)",rare
task,37.0,1,788.0,1,"(0, 1)",008,817,4,"(5, 4)",common
task,38.0,1,627.0,1,"(0, 1)",008,646,5,"(5, 4)",common
task,39.0,0,582.0,1,"(1, 0)",008,708,4,"(4, 5)",common
task,40.0,0,1023.0,0,"(0, 1)",008,921,3,"(2, 3)",common
task,41.0,0,1208.0,0,"(1, 0)",008,669,3,"(3, 2)",common
task,42.0,1,572.0,0,"(0, 1)",008,941,5,"(4, 5)",rare
task,43.0,1,742.0,0,"(1, 0)",008,896,5,"(5, 4)",rare
task,44.0,1,801.0,1,"(0, 1)",008,637,4,"(4, 5)",common
task,45.0,1,607.0,1,"(1, 0)",008,736,4,"(5, 4)",common
task,46.0,0,879.0,1,"(1, 0)",008,666,5,"(4, 5)",common
task,47.0,1,535.0,1,"(1, 0)",008,662,4,"(5, 4)",common
task,48.0,1,883.0,1,"(0, 1)",008,1591,3,"(2, 3)",rare
task,49.0,0,1193.0,1,"(0, 1)",008,733,5,"(5, 4)",common
task,50.0,0,796.0,0,"(1, 0)",008,839,5,"(5, 4)",rare
task,51.0,1,592.0,0,"(1, 0)",008,697,4,"(5, 4)",rare
task,52.0,1,689.0,1,"(0, 1)",008,713,3,"(3, 2)",rare
task,53.0,1,795.0,0,"(1, 0)",008,1025,5,"(5, 4)",rare
task,54.0,0,714.0,0,"(0, 1)",008,1156,3,"(2, 3)",common
task,55.0,1,829.0,0,"(0, 1)",008,973,2,"(2, 3)",common
task,56.0,1,802.0,1,"(1, 0)",008,726,2,"(2, 3)",rare
task,57.0,1,1163.0,0,"(0, 1)",008,1161,5,"(5, 4)",rare
task,58.0,0,709.0,0,"(0, 1)",008,657,5,"(4, 5)",rare
task,59.0,0,560.0,1,"(1, 0)",008,793,3,"(3, 2)",rare
task,60.0,0,522.0,1,"(0, 1)",008,780,5,"(5, 4)",common
task,61.0,0,696.0,1,"(1, 0)",008,784,4,"(5, 4)",common
task,62.0,0,833.0,1,"(0, 1)",008,980,2,"(3, 2)",rare
task,63.0,0,747.0,1,"(0, 1)",008,656,4,"(4, 5)",common
task,64.0,0,726.0,0,"(0, 1)",008,714,3,"(2, 3)",common
task,65.0,0,507.0,0,"(0, 1)",008,594,2,"(2, 3)",common
task,66.0,1,684.0,1,"(1, 0)",008,604,4,"(4, 5)",common
task,67.0,1,855.0,0,"(0, 1)",008,723,4,"(4, 5)",rare
task,68.0,1,739.0,1,"(1, 0)",008,831,5,"(5, 4)",common
task,69.0,0,592.0,0,"(0, 1)",008,588,2,"(2, 3)",common
task,70.0,1,510.0,0,"(1, 0)",008,566,3,"(3, 2)",common
task,71.0,1,493.0,0,"(0, 1)",008,718,3,"(3, 2)",common
task,72.0,1,580.0,0,"(0, 1)",008,670,3,"(2, 3)",common
task,73.0,0,533.0,0,"(1, 0)",008,753,4,"(4, 5)",rare
task,74.0,0,652.0,0,"(0, 1)",008,661,3,"(3, 2)",common
task,75.0,1,440.0,1,"(1, 0)",008,573,4,"(4, 5)",common
task,76.0,1,775.0,1,"(0, 1)",008,568,4,"(5, 4)",common
task,77.0,1,835.0,1,"(0, 1)",008,713,4,"(5, 4)",common
