type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,Switch,transition
practice,0.0,-1,,-1,"(0, 1)",2,-1.0,-1,-1,,
practice,1.0,-1,,-1,"(1, 0)",2,-1.0,-1,-1,0.0,
practice,2.0,1,747.0,1,"(1, 0)",2,950.0,3,"(3, 2)",1.0,rare
practice,3.0,1,436.0,1,"(1, 0)",2,725.0,4,"(5, 4)",0.0,common
practice,4.0,1,511.0,1,"(0, 1)",2,1048.0,2,"(3, 2)",0.0,rare
practice,5.0,1,983.0,1,"(1, 0)",2,683.0,4,"(5, 4)",0.0,common
practice,6.0,0,516.0,1,"(1, 0)",2,1154.0,4,"(4, 5)",0.0,common
practice,7.0,0,409.0,1,"(0, 1)",2,304.0,4,"(5, 4)",0.0,common
practice,8.0,1,436.0,0,"(0, 1)",2,349.0,3,"(3, 2)",1.0,common
practice,9.0,1,520.0,0,"(0, 1)",2,254.0,2,"(2, 3)",0.0,common
task,0.0,1,667.0,0,"(1, 0)",2,666.0,3,"(2, 3)",,common
task,1.0,0,486.0,0,"(1, 0)",2,464.0,3,"(2, 3)",0.0,common
task,2.0,1,545.0,0,"(0, 1)",2,572.0,3,"(3, 2)",0.0,common
task,3.0,0,684.0,0,"(1, 0)",2,1172.0,3,"(3, 2)",0.0,common
task,4.0,1,546.0,0,"(1, 0)",2,944.0,4,"(4, 5)",0.0,rare
task,5.0,1,591.0,0,"(1, 0)",2,315.0,3,"(2, 3)",0.0,common
task,6.0,0,562.0,0,"(1, 0)",2,475.0,5,"(5, 4)",0.0,rare
task,7.0,1,582.0,0,"(0, 1)",2,862.0,5,"(4, 5)",0.0,rare
task,8.0,0,727.0,0,"(0, 1)",2,1262.0,2,"(3, 2)",0.0,common
task,9.0,1,758.0,0,"(1, 0)",2,330.0,2,"(3, 2)",0.0,common
task,10.0,1,659.0,0,"(0, 1)",2,299.0,4,"(4, 5)",0.0,rare
task,11.0,1,756.0,0,"(0, 1)",2,1349.0,4,"(4, 5)",0.0,rare
task,12.0,1,886.0,0,"(0, 1)",2,1637.0,2,"(2, 3)",0.0,common
task,13.0,0,1677.0,0,"(1, 0)",2,534.0,2,"(2, 3)",0.0,common
task,14.0,1,760.0,0,"(0, 1)",2,658.0,5,"(4, 5)",0.0,rare
task,15.0,1,487.0,1,"(1, 0)",2,521.0,5,"(4, 5)",1.0,common
task,16.0,1,589.0,1,"(1, 0)",2,499.0,5,"(5, 4)",0.0,common
task,17.0,0,470.0,1,"(1, 0)",2,794.0,3,"(2, 3)",0.0,rare
task,18.0,1,818.0,1,"(0, 1)",2,1095.0,5,"(5, 4)",0.0,common
task,19.0,0,795.0,1,"(1, 0)",2,1058.0,3,"(2, 3)",0.0,rare
task,20.0,0,660.0,1,"(1, 0)",2,843.0,2,"(3, 2)",0.0,rare
task,21.0,0,732.0,0,"(1, 0)",2,573.0,3,"(2, 3)",1.0,common
task,22.0,0,760.0,0,"(1, 0)",2,752.0,3,"(3, 2)",0.0,common
task,23.0,0,864.0,1,"(1, 0)",2,661.0,4,"(4, 5)",1.0,common
task,24.0,1,407.0,0,"(1, 0)",2,666.0,3,"(2, 3)",1.0,common
task,25.0,1,384.0,1,"(0, 1)",2,362.0,5,"(5, 4)",1.0,common
task,26.0,1,520.0,1,"(0, 1)",2,589.0,5,"(4, 5)",0.0,common
task,27.0,0,652.0,1,"(1, 0)",2,515.0,5,"(4, 5)",0.0,common
task,28.0,1,415.0,1,"(0, 1)",2,418.0,2,"(2, 3)",0.0,rare
task,29.0,1,1008.0,1,"(1, 0)",2,1521.0,4,"(5, 4)",0.0,common
task,30.0,-1,,-1,"(1, 0)",2,-1.0,-1,"(-1, -1)",1.0,
task,31.0,0,978.0,1,"(0, 1)",2,608.0,4,"(5, 4)",1.0,common
task,32.0,0,306.0,0,"(0, 1)",2,367.0,3,"(2, 3)",1.0,common
task,33.0,0,433.0,0,"(0, 1)",2,447.0,4,"(4, 5)",0.0,rare
task,34.0,0,300.0,0,"(1, 0)",2,408.0,3,"(2, 3)",0.0,common
task,35.0,0,347.0,1,"(1, 0)",2,616.0,2,"(3, 2)",1.0,rare
task,36.0,1,322.0,1,"(1, 0)",2,553.0,5,"(4, 5)",0.0,common
task,37.0,1,349.0,1,"(1, 0)",2,402.0,5,"(4, 5)",0.0,common
task,38.0,1,435.0,1,"(1, 0)",2,501.0,5,"(5, 4)",0.0,common
task,39.0,1,511.0,1,"(0, 1)",2,462.0,5,"(5, 4)",0.0,common
task,40.0,1,595.0,1,"(1, 0)",2,581.0,4,"(5, 4)",0.0,common
task,41.0,0,404.0,1,"(1, 0)",2,582.0,3,"(2, 3)",0.0,rare
task,42.0,0,468.0,1,"(1, 0)",2,1243.0,5,"(4, 5)",0.0,common
task,43.0,1,302.0,1,"(0, 1)",2,1058.0,4,"(4, 5)",0.0,common
task,44.0,0,501.0,1,"(1, 0)",2,534.0,2,"(3, 2)",0.0,rare
task,45.0,0,561.0,0,"(0, 1)",2,450.0,3,"(2, 3)",1.0,common
task,46.0,0,239.0,1,"(1, 0)",2,398.0,3,"(2, 3)",1.0,rare
task,47.0,0,270.0,1,"(0, 1)",2,548.0,3,"(3, 2)",0.0,rare
task,48.0,0,120.0,0,"(0, 1)",2,399.0,2,"(3, 2)",1.0,common
task,49.0,0,316.0,1,"(0, 1)",2,448.0,4,"(4, 5)",1.0,common
task,50.0,1,264.0,1,"(0, 1)",2,455.0,3,"(3, 2)",0.0,rare
task,51.0,0,432.0,1,"(1, 0)",2,362.0,4,"(5, 4)",0.0,common
task,52.0,0,299.0,0,"(0, 1)",2,360.0,2,"(2, 3)",1.0,common
