Time,Action,Data
2015/02/19 14:56:22,Create,"{u'description': u'Two behavioral tasks looking at decisions', u'title': u'Decision Making Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/experiment.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Decisions,Stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/19 15:08:07,Create,"{u'description': u'Two behavioral tasks looking at decisions', u'title': u'Decision Making Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/experiment.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Decisions,Stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/19 15:45:23,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/experiment.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/19 15:49:03,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/experiment.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/19 16:26:09,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/20 13:39:51,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/20 13:43:43,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/20 13:57:35,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/21 09:46:33,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
2015/02/21 09:51:35,Create,"{u'description': u'Perform two cognitive tasks', u'title': u'Decision Game', u'url': u'https://web.stanford.edu/~ieisenbe/Otto_etal_2014_Replication/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'decisions stroop', u'auto_approval_delay': u'5 minutes', u'reward': 0.6}"
